fromNode	toNode	weight	direction	fromAltName	toAltName
Cre17.g741850	Cre16.g684850	0.422315802338015	undirected	HNR1	Cre16.g684850
Cre06.g260000	Cre03.g183900	0.475319186050824	undirected	Cre06.g260000	Cre03.g183900
Cre13.g587050	Cre01.g052250	0.229069238698801	undirected	ERF1	TRXx
Cre17.g727100	Cre14.g611200	0.342816707221263	undirected	Cre17.g727100	Cre14.g611200
Cre07.g332050	Cre12.g520550	0.45740583813636	undirected	Cre07.g332050	TRN1
Cre06.g292550	Cre01.g029950	0.237016600680812	undirected	FAP15	Cre01.g029950
Cre14.g615950	Cre13.g573900	0.302446955762723	undirected	Cre14.g615950	NSS3
Cre12.g507150	Cre16.g649350	0.446833009851641	undirected	Cre12.g507150	Cre16.g649350
Cre13.g564250	Cre02.g087600	0.41364887471908	undirected	EIF3A	Cre02.g087600
Cre06.g252650	Cre12.g529950	0.400701672661327	undirected	LEU1S	EIF4G1
Cre09.g410450	Cre08.g360350	0.428907223085858	undirected	ROC15	ADI1
Cre16.g653550	Cre07.g335550	0.483945023068417	undirected	Cre16.g653550	Cre07.g335550
Cre06.g263700	Cre09.g391652	0.521483050431496	undirected	Cre06.g263700	Cre09.g391652
Cre01.g070567	Cre08.g364501	0.376034693822725	undirected	Cre01.g070567	Cre08.g364501
Cre01.g039900	Cre08.g379800	0.136492155043431	undirected	TRZ4	Cre08.g379800
Cre01.g026450	Cre06.g278254	0.416625538424832	undirected	SRS1	Cre06.g278254
Cre10.g428750	Cre02.g074300	0.404266007684471	undirected	Cre10.g428750	Cre02.g074300
Cre06.g248850	Cre01.g014500	0.157234857214442	undirected	Cre06.g248850	Cre01.g014500
Cre12.g485600	Cre03.g189400	0.39273895092787	undirected	Cre12.g485600	TSS2
Cre03.g210289	Cre02.g084600	0.227000012815672	undirected	Cre03.g210289	Cre02.g084600
Cre07.g330350	Cre13.g564950	0.354842798153376	undirected	OPR115	EFG13
Cre07.g339750	Cre01.g063997	0.386964049506219	undirected	HEM2	Cre01.g063997
Cre17.g721450	Cre02.g145600	0.343976290776116	undirected	NSS4	Cre02.g145600
Cre16.g653800	Cre10.g454650	0.51130904358144	undirected	OPR101	RPC5
Cre26.g756597	Cre05.g233600	0.392299271883549	undirected	Cre26.g756597	Cre05.g233600
Cre12.g513950	Cre17.g697334	0.306979433306884	undirected	SUFD	Cre17.g697334
Cre14.g615500	Cre06.g261800	0.282368998846126	undirected	Cre14.g615500	Cre06.g261800
Cre06.g298750	Cre12.g547350	0.16594342656487	undirected	AOT4	CYG31
Cre09.g391023	Cre03.g168100	0.342433377458557	undirected	Cre09.g391023	Cre03.g168100
Cre08.g373650	Cre02.g102950	0.467290033118653	undirected	Cre08.g373650	Cre02.g102950
Cre09.g410500	Cre07.g348700	0.393854253939408	undirected	PAP11	Cre07.g348700
Cre06.g287700	Cre08.g376200	0.117630441506863	undirected	Cre06.g287700	Cre08.g376200
Cre07.g332800	Cre06.g301900	0.392204254326592	undirected	Cre07.g332800	Cre06.g301900
Cre08.g378850	Cre17.g727100	0.478643676894418	undirected	RPPK1	Cre17.g727100
Cre16.g653934	Cre08.g360450	0.193622213959775	undirected	Cre16.g653934	Cre08.g360450
Cre16.g654550	Cre09.g404100	0.28864746762387	undirected	Cre16.g654550	CLV3
Cre14.g615950	Cre07.g325715	0.387028987156565	undirected	Cre14.g615950	Cre07.g325715
Cre02.g118300	Cre08.g367300	0.478368213224944	undirected	HEL12	Cre08.g367300
Cre08.g368500	Cre17.g742700	0.396738229503204	undirected	Cre08.g368500	CGLD30
Cre10.g423400	Cre12.g511150	0.162732960737142	undirected	Cre10.g423400	GPD1
Cre01.g023150	Cre07.g349300	0.427030602185862	undirected	MCM5	HEL41
Cre12.g508050	Cre01.g034500	0.242903440974899	undirected	Cre12.g508050	Cre01.g034500
Cre04.g213350	Cre16.g694208	0.351754248647397	undirected	Cre04.g213350	Cre16.g694208
Cre06.g273750	Cre03.g196850	0.400558117146057	undirected	SABC	Cre03.g196850
Cre10.g453600	Cre14.g634365	0.143284137511108	undirected	DES	Cre14.g634365
