"node1","node2","p.corr"
"Cre01.g000017","Cre01.g002150",-0.4746
"Cre01.g000150","Cre01.g000950",0.4543
"Cre01.g000150","Cre01.g001350",-0.451
"Cre01.g001200","Cre01.g001983",-0.4401
"Cre01.g000017","Cre01.g001300",0.4299
"Cre01.g000600","Cre01.g000850",0.4276
"Cre01.g001300","Cre01.g001700",0.4112
"Cre01.g000250","Cre01.g001250",-0.4105
"Cre01.g000150","Cre01.g001600",0.4089
"Cre01.g001400","Cre01.g001450",0.4067
"Cre01.g001200","Cre01.g001300",0.4018
"Cre01.g001650","Cre01.g002203",-0.3968
"Cre01.g001657","Cre01.g002203",0.386
"Cre01.g001983","Cre01.g002050",0.385
"Cre01.g001700","Cre01.g002150",-0.385
"Cre01.g000033","Cre01.g000600",0.3767
"Cre01.g000450","Cre01.g002250",0.3749
"Cre01.g001664","Cre01.g002201",0.3737
"Cre01.g000700","Cre01.g002100",0.367
"Cre01.g000900","Cre01.g001600",0.3658
"Cre01.g001100","Cre01.g002300",0.3644
"Cre01.g001100","Cre01.g001650",-0.3581
"Cre01.g000500","Cre01.g001950",-0.3581
"Cre01.g000800","Cre01.g001664",-0.358
"Cre01.g000600","Cre01.g000650",0.3517
"Cre01.g001300","Cre01.g001664",0.3502
"Cre01.g001550","Cre01.g002250",0.3495
"Cre01.g000400","Cre01.g002200",-0.3477
"Cre01.g001200","Cre01.g001664",-0.3454
"Cre01.g000950","Cre01.g001501",-0.342
"Cre01.g000150","Cre01.g001501",0.3287
"Cre01.g000100","Cre01.g002300",-0.3248
"Cre01.g001300","Cre01.g002150",0.3208
"Cre01.g000033","Cre01.g001501",0.3143
"Cre01.g001750","Cre01.g002201",0.3142
"Cre01.g001250","Cre01.g001983",-0.3132
"Cre01.g000017","Cre01.g000033",0.3116
"Cre01.g000800","Cre01.g002201",0.3098
"Cre01.g000500","Cre01.g002300",-0.3087
"Cre01.g001600","Cre01.g002100",-0.3074
"Cre01.g000033","Cre01.g000150",-0.307
"Cre01.g000017","Cre01.g002100",-0.2991
"Cre01.g002150","Cre01.g002200",-0.2959
"Cre01.g001700","Cre01.g002203",-0.2953
"Cre01.g000150","Cre01.g000300",-0.2951
"Cre01.g000950","Cre01.g001657",-0.2939
"Cre01.g002203","Cre01.g002201",-0.2936
"Cre01.g000050","Cre01.g001600",-0.2934
"Cre01.g000600","Cre01.g001100",-0.2925
"Cre01.g000033","Cre01.g001650",-0.2902
"Cre01.g000650","Cre01.g000850",-0.2877
"Cre01.g000200","Cre01.g000900",-0.2855
"Cre01.g000200","Cre01.g002203",0.2844
"Cre01.g001657","Cre01.g001750",0.284
"Cre01.g000150","Cre01.g000450",-0.2807
"Cre01.g000150","Cre01.g001657",-0.2795
"Cre01.g000300","Cre01.g000850",0.2785
"Cre01.g000300","Cre01.g000950",0.2784
"Cre01.g000400","Cre01.g000500",0.2774
"Cre01.g000250","Cre01.g002203",-0.2739
"Cre01.g001600","Cre01.g001657",0.2738
"Cre01.g000350","Cre01.g001400",-0.2713
"Cre01.g000500","Cre01.g001350",0.2695
"Cre01.g000250","Cre01.g000600",-0.269
"Cre01.g000400","Cre01.g001700",-0.2674
"Cre01.g000650","Cre01.g001350",-0.2654
"Cre01.g000750","Cre01.g001650",0.2643
"Cre01.g000300","Cre01.g002300",0.2635
"Cre01.g000033","Cre01.g002203",-0.2629
"Cre01.g000200","Cre01.g000800",-0.2622
"Cre01.g000150","Cre01.g001100",0.262
"Cre01.g000100","Cre01.g001600",0.262
"Cre01.g000033","Cre01.g001250",-0.2619
"Cre01.g001300","Cre01.g002100",0.2605
"Cre01.g001400","Cre01.g002201",-0.2602
