Gene_id,Version,Gene_names,Uniprot_id,TF
Cre01.g066917,C. reinhardtii v5.6,LHCBM1,Q93VE0,
Cre09.g388200,C. reinhardtii v5.6,RPL10,A8IZK3,
Cre04.g220850,C. reinhardtii v5.6,Cre04.g220850,A0A2K3DU87,
Cre05.g234550,C. reinhardtii v5.6,FBA3,Q42690,
Cre04.g232104,C. reinhardtii v5.6,LHCBM3,Q93WL4,
Cre09.g402219,C. reinhardtii v5.6,LCI3,A0A2K3DF54,
Cre12.g520500,C. reinhardtii v5.6,RPP0,A8J5Z0,
Cre14.g630100,C. reinhardtii v5.6,RPL13,A8IUV7,
Cre01.g010900,C. reinhardtii v5.6,GAP3,A8HP84,
Cre12.g498600,C. reinhardtii v5.6,EEF1A1,A0A2K3D3E1,
Cre02.g097800,C. reinhardtii v5.6,HLA3,A0A2K3E226,
Cre12.g548950,C. reinhardtii v5.6,LHCBM7,Q9AXF6,
Cre16.g673650,C. reinhardtii v5.6,LHCB5,Q9FEK6,
Cre02.g101350,C. reinhardtii v5.6,RPL10A,A8I4T2,
Cre03.g159500,C. reinhardtii v5.6,ODC1,A0A2K3DWA6,
Cre01.g044800,C. reinhardtii v5.6,PFL1,A0A2K3E7P1,
Cre09.g396213,C. reinhardtii v5.6,PSBO,A8J0E4,
Cre01.g053000,C. reinhardtii v5.6,GPD2,A0A0B5KTL4,
Cre03.g182551,C. reinhardtii v5.6,PCY1,A8JH68,
Cre01.g011000,C. reinhardtii v5.6,RPL6,A8HP90,
Cre17.g706600,C. reinhardtii v5.6,Cre17.g706600,A0A2K3CPA4,
Cre12.g529651,C. reinhardtii v5.6,RPL7A,A0A2K3D4Q4,
Cre09.g397697,C. reinhardtii v5.6,RPL4,A8J0I0,
Cre08.g367500,C. reinhardtii v5.6,LHCSR3.1,,
Cre06.g273600,C. reinhardtii v5.6,RPS27A,A8HVK4,
Cre05.g237450,C. reinhardtii v5.6,PSRP1,A0A2K3DSW0,
Cre12.g545150,C. reinhardtii v5.6,Cre12.g545150,A0A2K3D6L3,
Cre06.g285250,C. reinhardtii v5.6,LHCBM6,A8J287,
Cre10.g452350,C. reinhardtii v5.6,Cre10.g452350,A8I017,
Cre06.g283050,C. reinhardtii v5.6,LHCA1,Q05093,
Cre10.g417700,C. reinhardtii v5.6,RPL3,A8ID84,
Cre17.g734757,C. reinhardtii v5.6,Cre17.g734757,A0A2K3CRA8,
Cre12.g529400,C. reinhardtii v5.6,RPS27E1,A8J576,
Cre01.g054500,C. reinhardtii v5.6,Cre01.g054500,A8JCP5,
Cre14.g621450,C. reinhardtii v5.6,RPL5,A8HP55,
Cre06.g282800,C. reinhardtii v5.6,ICL1,A8J244,
Cre06.g272800,C. reinhardtii v5.6,RPS8,A8HVQ1,
Cre09.g400650,C. reinhardtii v5.6,RPS6,A8J1G8,
Cre06.g261000,C. reinhardtii v5.6,PSBR,A0A2K3DMP5,
Cre09.g412100,C. reinhardtii v5.6,PSAF,A8J4S1,
Cre17.g720250,C. reinhardtii v5.6,LHCB4,A8J6D1,
Cre08.g367400,C. reinhardtii v5.6,LHCSR3.2,,
Cre16.g661626,C. reinhardtii v5.6,Cre16.g661626,A0A2K3CTL1,
Cre10.g432800,C. reinhardtii v5.6,RPSA,A8IB25,
Cre01.g053150,C. reinhardtii v5.6,GPD3,A0A2K3E871,
Cre07.g344950,C. reinhardtii v5.6,LHCA9,A8ITV3,
Cre06.g278222,C. reinhardtii v5.6,Cre06.g278222,A8J8Y1,
Cre10.g430400,C. reinhardtii v5.6,RPL37,A8IBG1,
Cre01.g007051,C. reinhardtii v5.6,RPL40,A8JCX9,
Cre11.g467689,C. reinhardtii v5.6,PETC,A8J9Y1,
Cre08.g372450,C. reinhardtii v5.6,PSBQ,A8JEV1,
Cre13.g568650,C. reinhardtii v5.6,RPS3A,A8HS48,
Cre11.g467594,C. reinhardtii v5.6,Cre11.g467594,A8JA61,
Cre01.g039250,C. reinhardtii v5.6,RPS2,A0A2K3E794,
Cre02.g115200,C. reinhardtii v5.6,RPL27A,A8I2T0,
Cre07.g323800,C. reinhardtii v5.6,Cre07.g323800,A0A2K3DJ70,
Cre02.g120150,C. reinhardtii v5.6,RBCS2,A0A2K3E3L3,
Cre04.g222700,C. reinhardtii v5.6,Cre04.g222700,A8ISZ1,
Cre01.g027000,C. reinhardtii v5.6,RPL11,A8HQ81,
Cre17.g746997,C. reinhardtii v5.6,ADH1,A8JI07,
Cre06.g258800,C. reinhardtii v5.6,GP2,A0A2K3DMI5,
Cre03.g206600,C. reinhardtii v5.6,AAD1,A8IX80,
Cre06.g263450,C. reinhardtii v5.6,EEF1A3,A8HX38,
Cre05.g247950,C. reinhardtii v5.6,Cre05.g247950,A8I5S5,
Cre12.g548400,C. reinhardtii v5.6,LHCBM2,Q93WE0,
Cre12.g508750,C. reinhardtii v5.6,LHCA2,A8IKC8,
Cre09.g391650,C. reinhardtii v5.6,HCP4,A8IZR3,
Cre09.g392350,C. reinhardtii v5.6,CGLD37,A0A2K3DDE6,
Cre12.g494050,C. reinhardtii v5.6,RPL9,A8JDP4,
Cre12.g551501,C. reinhardtii v5.6,Cre12.g551501,A8IYI8,
Cre13.g573351,C. reinhardtii v5.6,Cre13.g573351,A8HSU7,
Cre13.g568900,C. reinhardtii v5.6,RPL17,A8HS59,
