,ck1,ck2,ck3,salt2h_1,salt2h_2,salt2h_3,salt4h_1,salt4h_2,salt4h_3,salt8h_1,salt8h_2,salt8h_3,salt12h_1,salt12h_2,salt12h_3,salt24h_1,salt24h_2,salt24h_3,salt48h_1,salt48h_2,salt48h_3,salt72h_1,salt72h_2,salt72h_3
Cre01.g066917,127210,103462,121315,11715,11353,4216,1326,1402,3548,219,283,218,549,755,921,1706,2175,2414,717,784,737,1338,2961,3079
Cre09.g388200,303858,165420,113986,265597,458371,145969,233550,239466,602532,244912,256689,172192,275356,221879,255613,245128,280585,310998,278641,250688,281571,325698,250393,263706
Cre04.g220850,115023,92354,77063,3535,48646,16583,13017,17555,36390,12522,15556,13730,8958,14301,13382,75577,64968,67483,4173,3847,7551,857,3250,2681
Cre05.g234550,100761,87340,95378,7365,25889,9587,11647,11494,19696,15130,16501,12577,37295,31999,41807,37936,31053,29733,31042,32054,27017,23019,26959,26688
Cre04.g232104,78083,62569,74803,9625,13542,4550,2151,2026,4476,909,902,729,1502,2326,2891,3895,5111,4878,1187,1361,1190,3500,4180,4383
Cre09.g402219,78904,75194,69994,2652,7019,2881,12903,11685,19262,4188,4515,3250,21354,17637,22290,15789,17140,18874,8104,8171,7600,2682,2470,2831
Cre12.g520500,124707,82819,66000,173903,290014,90626,128245,140355,310220,161113,158843,117284,160517,135291,161835,125214,135976,142826,141395,144015,141148,157994,108521,118986
Cre14.g630100,107312,79453,61433,206912,241241,81055,117062,122774,315959,128209,125381,96944,126391,109403,129628,111364,127601,139603,128133,126175,134268,217136,119801,129862
Cre01.g010900,100386,82868,84072,13901,35095,11786,5390,5444,11080,7873,7720,6474,24573,22113,27599,48189,52570,51070,48079,49200,46003,45407,50781,53983
Cre12.g498600,119924,122907,108483,174101,249291,92288,123108,129157,293189,154329,165765,127519,154580,147689,175973,165199,196564,203679,177477,170077,182539,218946,167265,166757
